Date,Shift,Team,KMT2503 Loads,KMT2504 Loads,KMT2505 Loads,KMT2506 Loads,KMT2507 Loads,C095 Loads,C096 Loads,C105 Loads,Total Loads
2026-01-17,Unknown,,171,171,,,171,,,,
2026-01-19,Unknown,,42,42,37,,7,,,,
2026-01-23,Unknown,,42,46,38,,38,,,,126
2026-01-24,Unknown,,17,16,20,,4,,,,57
2026-01-25,Unknown,,41,43,41,,125,,,,125
2026-01-25,Unknown,,,,,,,,,,
2026-01-26,Unknown,,39,37,76,,76,,,,76
2026-01-26,Unknown,,29,3,33,,42,,,,107
2026-01-28,Unknown,,46,46,46,,46,,,,138
2026-01-29,Unknown,,62,62,,,62,,,,88
2026-01-31,Unknown,,43,36,36,,36,,,,151
2026-01-31,Unknown,,,,,,,,,,97
2026-02-01,Unknown,,41,41,42,,41,,,,164
2026-02-01,Unknown,,32,15,40,,41,,,,128
2026-02-02,Unknown,,,,,,,,,,
2026-02-02,Unknown,,27,52,27,,41,,,,147
2026-02-03,Unknown,,,,,,,,,,
2026-02-04,Unknown,,,,,,,,,,
2026-02-05,Unknown,,,,,,,,,,
2026-02-06,Unknown,,,,,,,,,,
2026-02-07,Unknown,,40,37,37,,38,,,,115
2026-02-08,Unknown,,43,39,39,,36,,,,118
2026-02-09,Unknown,,,,,,,,,,107
2026-02-09,Unknown,,,,,,,,,,143
2026-02-10,Day,A,16,15,20,,16,,,,97
2026-02-10,Unknown,,38,33,43,,32,,,,144
2026-02-11,Unknown,,34,17,35,,33,,,,119
2026-02-12,Day,D,,,,,,,,,81
2026-02-12,Night,A,,,,,,,,,118
2026-02-13,Day,B,16,16,22,,18,,,,56
2026-02-14,Day,B,51,56,56,,53,,,,160
2026-02-14,Unknown,D,,,,,,,,,
2026-02-15,Day,A,,,,,,,,,
2026-02-15,Night,B,41,40,40,,42,,,,123
2026-02-16,Day,A,46,40,40,,,,,,131
2026-02-16,Night,B,41,44,40,,,,,,125
2026-02-16,Night,B,54,51,42,,,,,,147
2026-02-17,Day,D,25,28,34,,,,,,84
2026-02-17,Night,A,43,47,42,,46,,,,178
2026-02-17,Night,A,41,39,43,,43,,,,163
2026-02-18,Day,D,34,30,34,,98,,,,98
2026-02-19,Night,D,,36,39,,,,,,114
2026-02-20,Day,B,49,45,50,,,,,,144
2026-02-20,Unknown,D,32,34,34,,,,,,100
2026-02-21,Day,C,,,,,,,,,
2026-02-21,Day,C,29,25,25,,32,,,,76
2026-02-21,Night,B,35,30,34,,,,,,99
2026-02-22,Day,C,37,26,34,,,,,,97
2026-02-22,Night,B,36,33,35,,,,,,105
2026-02-23,Day,D,40,43,39,,122,,,,122
2026-02-23,Night,C,38,31,43,,,,,,112
2026-02-24,Day,D,42,36,35,,,,,,113
2026-02-24,Night,C,41,25,25,,66,,,,66
2026-02-25,Day,B,50,33,42,,17,,,,142
2026-02-25,Day,B,34,31,32,,,,,,97
2026-02-25,Night,D,36,36,37,,,,,,109
2026-02-26,Unknown,D,25,26,25,,,,,,76
2026-02-27,Day,C,42,36,36,,35,,,,113
2026-02-27,Unknown,B,30,29,15,,28,,,,102
2026-02-28,Day,C,37,29,30,,29,,,,125
2026-02-28,Unknown,B,23,21,19,,22,,,,96
2026-03-01,Day,D,33,34,23,,,,,,90
2026-03-01,Day,C,21,30,25,,25,,,,101
2026-03-02,Day,D,29,28,30,,87,,,,87
2026-03-02,Night,C,23,30,30,,14,,,,
2026-03-03,Day,B,17,32,13,,35,,,,97
2026-03-03,Night,D,31,31,29,,29,,,,60
2026-03-04,Day,B,20,34,20,,32,,,,106
2026-03-04,Unknown,D,28,27,26,,26,,,,81
2026-03-05,Night,D,27,25,20,,23,,,,95
2026-03-06,Night,B,43,41,26,,38,,,,
2026-03-07,Day,A,44,43,45,,,,,,
2026-03-08,Day,A,38,35,43,,27,,,,
2026-03-08,Day,B,23,28,29,,29,,,,
2026-03-09,Night,A,31,31,41,,35,,,,
2026-03-10,Day,B,30,34,16,,12,,,,
2026-03-10,Night,A,29,30,31,,31,,,,
2026-03-11,Night,B,27,26,30,,28,,,,
2026-03-12,Night,B,30,22,10,,28,,,,
2026-03-13,Day,A,37,41,45,,38,,,,
2026-03-14,Day,A,38,43,45,,45,,,,
2026-03-15,Night,B,44,35,41,,38,,,,
2026-03-16,Day,B,15,15,20,,40,,,,
2026-03-17,Night,A,21,28,30,,25,,,,
2026-03-17,Night,B,20,25,25,,36,,,,
2026-03-18,Night,B,26,20,24,,27,,,,
2026-03-21,Day,D,23,12,14,,13,21,21,,
2026-03-21,Night,A,10,17,24,,,25,25,,
2026-03-22,Day,D,31,32,32,,32,30,29,,
2026-03-22,Unknown,A,,,,,,,,,
2026-03-22,Unknown,A,143,143,143,,143,143,143,,143
2026-03-23,Unknown,D,30,30,30,,30,27,,27,
2026-03-24,Unknown,D,30,30,30,,29,25,,31,
2026-03-25,Unknown,,195,195,195,,195,195,195,,
2026-03-26,Unknown,,,,,,,,,,
2026-03-27,Day,D,33,37,37,,37,33,35,,
2026-03-28,Day,D,30,29,29,,29,24,28,,
2026-03-28,Unknown,A,145,145,145,,145,145,145,,
2026-03-30,Night,D,39,38,38,,38,19,33,,
2026-03-31,Night,D,4,5,5,,4,5,5,,
2026-04-01,Day,A,,,,,16,,,,
2026-04-01,Night,A,,,,,,,,,
2026-04-02,Day,D,,,,,,,,,
2026-04-03,Day,D,,,,,,,,,
2026-04-03,Night,A,,,,,,,,,
2026-04-03,Night,A,10,10,10,,9,,,,
2026-04-03,Unknown,A,,,,,,,,,
2026-04-04,Day,B,,,,,,,,,
2026-04-04,Night,D,,,,,,,,,
2026-04-05,Day,B,,,,,,,,,
2026-04-05,Night,D,,,,,,,,,
2026-04-05,Night,D,,,,,,,,,
2026-04-07,Day,A,5,9,10,,6,,,6,
2026-04-07,Night,B,,,,,,,,,
2026-04-08,Day,D,,,,,,,,,
